timestamp,load_kw,pv_generation_kw,grid_price_cents,temperature_c
2024-01-15 00:00,0.42,0.00,35.2,8.5
2024-01-15 01:00,0.38,0.00,32.1,7.8
2024-01-15 02:00,0.35,0.00,30.5,7.2
2024-01-15 03:00,0.33,0.00,29.8,6.8
2024-01-15 04:00,0.34,0.00,31.2,6.5
2024-01-15 05:00,0.45,0.00,34.5,6.3
2024-01-15 06:00,0.85,0.00,42.3,6.8
2024-01-15 07:00,1.82,0.12,55.8,7.5
2024-01-15 08:00,1.45,0.58,62.4,9.2
2024-01-15 09:00,0.95,1.25,58.2,11.5
2024-01-15 10:00,0.72,2.15,52.1,13.8
2024-01-15 11:00,0.68,3.12,48.5,15.2
2024-01-15 12:00,0.75,3.85,45.2,16.5
2024-01-15 13:00,0.82,3.92,44.8,17.2
2024-01-15 14:00,0.78,3.45,46.5,17.8
2024-01-15 15:00,0.85,2.68,49.2,17.2
2024-01-15 16:00,1.12,1.72,54.8,15.8
2024-01-15 17:00,1.85,0.65,62.5,14.2
2024-01-15 18:00,2.45,0.08,68.2,12.5
2024-01-15 19:00,2.92,0.00,72.5,11.2
2024-01-15 20:00,2.55,0.00,65.8,10.5
2024-01-15 21:00,1.85,0.00,55.2,9.8
2024-01-15 22:00,1.12,0.00,45.5,9.2
2024-01-15 23:00,0.65,0.00,38.2,8.8
